"","DA_aux_pp","DA_QUANDO_v","DOPO_aux_pp","FINCHE_v","FINO_A_aux_pp","INVECE_DI_v","ONDE_v","PER_aux_pp","PER_v","PERCHE_v","POICHE_v","PRIMA_CHE_v","PRIMA_DI_aux_pp","PRIMA_DI_v"
"rimettere",0,0,1,0,0,1,1,0,1,0,0,0,0,5
"rivelare",0,0,0,0,0,2,1,1,0,3,0,1,0,1
"rompere",0,0,2,0,0,1,1,1,1,1,0,0,0,2
"salvare",0,0,0,0,0,0,1,2,4,2,0,0,0,0
"scoperto",0,0,0,0,0,0,0,6,0,0,0,0,3,0
"sottoporre",2,0,1,0,0,0,0,2,0,1,0,0,2,1
"studiare",1,1,3,0,0,1,1,0,1,0,0,0,1,0
"svolgere",0,1,2,0,0,0,0,0,1,2,2,0,1,0
"trasportare",1,0,1,0,0,0,1,3,1,0,0,0,2,0
"valutare",0,0,1,0,0,0,6,0,1,0,0,0,0,1
"affermare",0,0,0,0,0,0,2,1,3,0,2,0,0,0
"approdare",0,0,0,0,0,0,0,0,0,0,0,1,0,7
"avvenire",0,0,0,0,0,1,1,0,1,3,1,1,0,0
"avvertire",1,0,1,3,0,0,0,0,0,0,2,1,0,0
"bloccare",1,0,0,0,0,1,0,0,1,0,3,0,2,0
"condannare",2,0,1,0,0,2,0,1,0,0,0,0,2,0
"conseguire",0,0,1,0,0,0,5,0,2,0,0,0,0,0
"consumare",1,0,2,0,0,0,0,3,0,0,0,0,0,2
"controllare",1,0,2,0,0,0,1,0,2,0,1,1,0,0
"crescere",0,0,0,0,0,3,1,0,2,0,2,0,0,0
"destinare",2,0,0,0,0,1,0,4,0,0,0,0,1,0
"diminuire",0,0,0,0,0,4,1,0,0,2,1,0,0,0
"gettare",0,0,1,0,0,0,1,1,1,0,0,0,1,3
"godere",0,0,0,0,0,0,0,1,2,1,3,0,0,1
"ignorare",0,0,0,0,0,1,0,2,0,3,2,0,0,0
"intendere",1,0,0,0,0,0,0,0,3,3,1,0,0,0
"investire",0,0,2,0,0,2,0,2,0,0,0,0,2,0
"liberare",0,0,0,0,0,1,0,3,2,1,1,0,0,0
"possedere",0,0,0,0,0,0,0,0,0,2,6,0,0,0
"preparare",2,0,0,0,0,1,2,0,2,0,0,0,0,1
"produrre",0,0,0,0,0,0,2,0,2,2,2,0,0,0
"pronunciare",0,0,3,0,0,1,0,2,0,0,0,2,0,0
"ritrovare",2,1,0,1,0,0,2,1,0,0,0,0,0,1
"scattare",0,0,0,0,0,0,0,0,0,0,0,7,0,1
"significare",0,0,0,0,0,0,0,0,0,2,6,0,0,0
"sparare",0,1,2,0,0,4,0,0,0,0,0,0,0,1
"tirare",0,0,3,0,0,2,0,1,0,1,0,0,0,1
"vendere",0,1,1,0,0,2,0,3,1,0,0,0,0,0
"accadere",0,1,0,1,0,0,0,0,0,0,0,5,0,0
"accedere",0,0,0,0,0,0,0,0,3,0,0,0,0,4
"accogliere",1,0,1,0,1,1,0,3,0,0,0,0,0,0
"accompagnare",1,0,2,1,0,1,0,0,0,1,0,0,1,0
"acquisire",0,0,4,0,0,0,0,0,1,0,0,0,2,0
"addormentare",0,0,1,0,0,0,0,0,0,0,0,0,0,6
"aggiungere",0,0,0,0,0,1,0,0,0,1,0,2,0,3
"agire",0,0,0,0,0,0,2,0,0,2,2,0,0,1
"assistere",1,0,3,0,0,0,1,1,0,0,1,0,0,0
"calare",0,0,0,1,0,0,1,0,0,0,0,5,0,0
"camminare",0,1,2,0,0,3,0,0,0,1,0,0,0,0
"chiarire",1,0,0,0,0,2,2,0,1,1,0,0,0,0
"confermare",1,0,1,0,0,1,0,0,1,1,1,0,0,1
"costituire",0,0,0,0,0,1,1,0,0,0,5,0,0,0
"crollare",0,1,0,3,0,0,0,0,0,0,0,3,0,0
"descrivere",0,0,0,0,0,2,0,0,3,0,2,0,0,0
"dimenticare",3,0,0,1,0,0,0,1,1,0,1,0,0,0
"dipendere",0,0,0,3,0,0,0,0,0,0,4,0,0,0
"escludere",0,0,0,0,0,0,2,0,2,0,3,0,0,0
"facilitare",0,0,0,0,0,0,5,0,0,2,0,0,0,0
"fallire",0,0,5,0,0,0,0,0,0,0,1,1,0,0
"funzionare",0,0,0,1,0,1,0,0,0,3,2,0,0,0
"governare",2,1,0,0,0,0,0,1,0,1,2,0,0,0
